time	y
0	11
0.002	11.01
0.004	11.02
0.006	11.03
0.008	11.04
0.01	11.05
0.012	11.06
0.014	11.07
0.016	11.08
0.018	11.09
0.02	11.1
0.022	11.11
0.024	11.12
0.026	11.13
0.028	11.14
0.03	11.15
0.032	11.16
0.034	11.17
0.036	11.18
0.038	11.19
0.04	11.2
0.042	11.21
0.044	11.22
0.046	11.23
0.048	11.24
0.05	11.25
0.052	11.26
0.054	11.27
0.056	11.28
0.058	11.29
0.06	11.3
0.062	11.31
0.064	11.32
0.066	11.33
0.068	11.34
0.07	11.35
0.072	11.36
0.074	11.37
0.076	11.38
0.078	11.39
0.08	11.4
0.082	11.41
0.084	11.42
0.086	11.43
0.088	11.44
0.09	11.45
0.092	11.46
0.094	11.47
0.096	11.48
0.098	11.49
0.1	11.5
0.102	11.51
0.104	11.52
0.106	11.53
0.108	11.54
0.11	11.55
0.112	11.56
0.114	11.57
0.116	11.58
0.118	11.59
0.12	11.6
0.122	11.61
0.124	11.62
0.126	11.63
0.128	11.64
0.13	11.65
0.132	11.66
0.134	11.67
0.136	11.68
0.138	11.69
0.14	11.7
0.142	11.71
0.144	11.72
0.146	11.73
0.148	11.74
0.15	11.75
0.152	11.76
0.154	11.77
0.156	11.78
0.158	11.79
0.16	11.8
0.162	11.81
0.164	11.82
0.166	11.83
0.168	11.84
0.17	11.85
0.172	11.86
0.174	11.87
0.176	11.88
0.178	11.89
0.18	11.9
0.182	11.91
0.184	11.92
0.186	11.93
0.188	11.94
0.19	11.95
0.192	11.96
0.194	11.97
0.196	11.98
0.198	11.99
0.2	12
0.202	12.01
0.204	12.02
0.206	12.03
0.208	12.04
0.21	12.05
0.212	12.06
0.214	12.07
0.216	12.08
0.218	12.09
0.22	12.1
0.222	12.11
0.224	12.12
0.226	12.13
0.228	12.14
0.23	12.15
0.232	12.16
0.234	12.17
0.236	12.18
0.238	12.19
0.24	12.2
0.242	12.21
0.244	12.22
0.246	12.23
0.248	12.24
0.25	12.25
0.252	12.26
0.254	12.27
0.256	12.28
0.258	12.29
0.26	12.3
0.262	12.31
0.264	12.32
0.266	12.33
0.268	12.34
0.27	12.35
0.272	12.36
0.274	12.37
0.276	12.38
0.278	12.39
0.28	12.4
0.282	12.41
0.284	12.42
0.286	12.43
0.288	12.44
0.29	12.45
0.292	12.46
0.294	12.47
0.296	12.48
0.298	12.49
0.3	12.5
0.302	12.51
0.304	12.52
0.306	12.53
0.308	12.54
0.31	12.55
0.312	12.56
0.314	12.57
0.316	12.58
0.318	12.59
0.32	12.6
0.322	12.61
0.324	12.62
0.326	12.63
0.328	12.64
0.33	12.65
0.332	12.66
0.334	12.67
0.336	12.68
0.338	12.69
0.34	12.7
0.342	12.71
0.344	12.72
0.346	12.73
0.348	12.74
0.35	12.75
0.352	12.76
0.354	12.77
0.356	12.78
0.358	12.79
0.36	12.8
0.362	12.81
0.364	12.82
0.366	12.83
0.368	12.84
0.37	12.85
0.372	12.86
0.374	12.87
0.376	12.88
0.378	12.89
0.38	12.9
0.382	12.91
0.384	12.92
0.386	12.93
0.388	12.94
0.39	12.95
0.392	12.96
0.394	12.97
0.396	12.98
0.398	12.99
0.4	13
0.402	13.01
0.404	13.02
0.406	13.03
0.408	13.04
0.41	13.05
0.412	13.06
0.414	13.07
0.416	13.08
0.418	13.09
0.42	13.1
0.422	13.11
0.424	13.12
0.426	13.13
0.428	13.14
0.43	13.15
0.432	13.16
0.434	13.17
0.436	13.18
0.438	13.19
0.44	13.2
0.442	13.21
0.444	13.22
0.446	13.23
0.448	13.24
0.45	13.25
0.452	13.26
0.454	13.27
0.456	13.28
0.458	13.29
0.46	13.3
0.462	13.31
0.464	13.32
0.466	13.33
0.468	13.34
0.47	13.35
0.472	13.36
0.474	13.37
0.476	13.38
0.478	13.39
0.48	13.4
0.482	13.41
0.484	13.42
0.486	13.43
0.488	13.44
0.49	13.45
0.492	13.46
0.494	13.47
0.496	13.48
0.498	13.49
0.5	13.5
0.502	13.51
0.504	13.52
0.506	13.53
0.508	13.54
0.51	13.55
0.512	13.56
0.514	13.57
0.516	13.58
0.518	13.59
0.52	13.6
0.522	13.61
0.524	13.62
0.526	13.63
0.528	13.64
0.53	13.65
0.532	13.66
0.534	13.67
0.536	13.68
0.538	13.69
0.54	13.7
0.542	13.71
0.544	13.72
0.546	13.73
0.548	13.74
0.55	13.75
0.552	13.76
0.554	13.77
0.556	13.78
0.558	13.79
0.56	13.8
0.562	13.81
0.564	13.82
0.566	13.83
0.568	13.84
0.57	13.85
0.572	13.86
0.574	13.87
0.576	13.88
0.578	13.89
0.58	13.9
0.582	13.91
0.584	13.92
0.586	13.93
0.588	13.94
0.59	13.95
0.592	13.96
0.594	13.97
